physicalDescription-note,546
note-sept,1
subject-titleInfo-partNumber,5
subject-genre,8
originInfo-copyrightDate,29
subject-occupation,15
recordInfo-recordOrigin,5
titleInfo-nonSort,2271
titleInfo-title-a,1
language-scriptTerm,8
location-physicalLocation,9182
language-languageTerm,718
location-url,1
note-winter,1
note-oct-july,1
note-no,1
note-may,2
subject-name,14
subject-geographicCode,1
relatedItem-titleInfo-title,1
note-jl,1
name-role,161
originInfo-edition,729
titleInfo-partName,1109
note-cr-cr-cr,1
location-shelfLocator,5408
subject-cartographics-coordinates,154
name-role-roleTerm,11204
physicalDescription-extent,546
originInfo-issuance,670
note-mr,1
recordInfo-descriptionStandard,1
originInfo-publisher-the,1
originInfo-publisher,3648
recordInfo-recordContentSource,5
note-feb,2
name-namePart,5966
physicalDescription-form,555
subject-titleInfo-partName,5
subject-topic,4046
titleInfo-title-oct,1
note-nov,1
subject-cartographics-projection,153
titleInfo-title-aug,1
originInfo-dateOther,5
subject-cartographics,835
subject-titleInfo-subTitle,5
originInfo-dateCreated,1638
subject-name-namePart,959
subject-geographic,1016
subject-cartographics-scale,155
titleInfo-title,7026
note-oct,2
subject-titleInfo-title,23
note-cr,15
relatedItem-note,1
note-apr-a,1
originInfo-dateIssued,4109
note-huntington,1
note-june,1
note-mar,2
subject-titleInfo-nonSort,5
name-affiliation,5770
relatedItem-identifier,1
titleInfo-partNumber,1109
note-jan,4
originInfo-place-placeTerm,3989
titleInfo-subTitle,1110
note-cr-cr,5
